,,,
,AMC Name,KFin,CAMS
,AXIS MUTUAL FUND,128,
,BARODA BNP PARIBAS MUTUAL FUND,178,
,BOI AXA MUTUAL FUND,116,
,CANARA ROBECO MUTUAL FUND,101,
,EDELWEISS MUTUAL FUND,118,
,GROWW MUTUAL FUND,125,
,INVESCO MUTUAL FUND,120,
,ITI MUTUAL FUND,152,
,JM FINANCIAL MUTUAL FUND,105,
,LIC MUTUAL FUND,102,
,MIRAE ASSET MUTUAL FUND,117,
,MOTILAL OSWAL MUTUAL FUND,127,
,NIPPON INDIA MUTUAL FUND,RMF,
,PGIM INDIA MUTUAL FUND,129,
,QUANT MUTUAL FUND,166,
,QUANTUM MUTUAL FUND,123,
,SUNDARAM MUTUAL FUND,176,
,TAURUS MUTUAL FUND,104,
,UTI MUTUAL FUND,108,
,TRUST MUTUAL FUND,185,
,SAMCO MUTUAL FUND,188,
,NJ MUTUAL FUND,187,
,BAJAJ FINSERV MUTUAL FUND,189,
,Bandhan Mutual Fund,,IDFC
,SBI Mutual Fund,,SBI
,ICICI Prudential Mutual Fund,,ICIC
,HDFC Mutual Fund,,HDFC
,PPFAS Mutual Fund,,PPFAS
,Kotak Mutual Fund,,KOT
,TATA Mutual Fund,,TATA
,HSBC Mutual Fund,,HSBC
,Franklin Templeton Mutual Fund,,FT
,DSP Mutual Fund,,DSP
,Navi Mutual Fund,,PLF
,WhiteOak Capital Mutual Fund,,WO
,Aditya Birla Sun Life Mutual Fund,,AB
,Shriram Mutual Fund,,SHR
,Mahindra Manulife Mutual Fund,,MAHINDRA
,Union Mutual Fund,,UNION
,IIFL Mutual Fund,,IIFL
